Medication,Code_Type,Code,include_james,include_dorsa,include_consensus,include_james 2,Unnamed: 7,include_final
Bismuth Subcit K 140 mg-Metronidazole 125 mg-Tetracycline 125 mg Cap,EPIC-MED,81479,0,1,False,1.0,,1
Lansoprazoleamoxillin and clarithromycin combination - LMR 3354,LMR,3354,0,1,False,1.0,,1
Trimethoprim polymyxin b sulfate - LMR 2746,LMR,2746,0,0,True,0.0,,0
Amoxicillin-Clarithromycin-Lansoprazole 500 mg-500 mg-30 mg Combo Pack,EPIC-MED,22299,0,1,False,1.0,,1
Co-trimoxazole tab bact,MGH_CC,723620,0,1,False,1.0,,1
Minocin-oncall,ONCALL,DSFY2-1,1,1,True,1.0,minocycline,1
Doxycycline hyclate 100mg vial 1 ea vial,BWH_CC,941168,1,0,False,0.0,,0
ace,EPIC-PRC,47560289,0,0,True,0.0,injection,0
Doxycycline hyclate 100mg vial 1 ea vial,BWH_CC,952894,1,0,False,0.0,,0
Pylera (bismuth/metronidazole/tetracycline) - LMR 7408,LMR,7408,0,1,False,1.0,,1
Azithromycin 500mg vial 10 ea vial,BWH_CC,943571,1,0,False,0.0,,0
Helidac (metronidazole/tetracycline/bismuth combo pack) - LMR 5794,LMR,5794,0,1,False,1.0,,1
Sulfamethoxazole w/tmp 10ml vi,MGH_CC,1417,0,0,True,0.0,vial,0
Azithromycin 500mg vial 10 ea,BWH_CC,943349,1,0,False,0.0,,0
Lansoprazoleamoxillin and clarithromycin combination - LMR 3354,PAML-LMR,3354,0,1,False,1.0,,1
Septra 400mg-80mg tablet,BWH_CC,903155,0,1,False,1.0,,1
Azithromycin 500mg vial 1 ea vial,BWH_CC,946658,1,0,False,0.0,,0
Amoxapine 50 mg Tablet,EPIC-MED,449,1,0,False,0.0,,0
Septra Ds Oral,EPIC-MED,146932,0,1,False,1.0,,1
Oxytetracycline - LMR 2463,LMR,2463,0,1,False,1.0,,1
Doxycycline (sclerosing) - LMR 3017,LMR,3017,?,0,False,0.0,ok,0
Sulfamethoxazole-Trimethoprim Desensitization Oral Susp 4-0.8 mg/ml Cmpd BWH,EPIC-MED,701529,0,0,True,0.0,desensitization for allergies (low dose),0
Sulfamethoxazole-Trimethoprim Desensitization Oral Susp 0.4-0.08 mg/ml Cmpd BWH,EPIC-MED,701530,0,0,True,0.0,desensitization for allergies (low dose),0
Pylera (bismuth/metronidazole/tetracycline) - LMR 7408,PAML-LMR,7408,0,1,False,1.0,,1
Minocin 100 mg Capsule,EPIC-MED,5108,1,1,True,,,1
Sarecycline 100 mg tablet,EPIC-MED,200340,1,1,True,,,1
Minocin Oral,EPIC-MED,141332,1,1,True,,,1
Doxylamine succinate oral,EPIC-MED,135135,1,1,True,,,0
Doxylamine succinate - LMR 1689,PAML-LMR,1689,1,1,True,,,0
Sarecycline 60 mg tablet,EPIC-MED,200339,1,1,True,,,1
Polymyxin B Sulf-Trimethoprim Opht,EPIC-MED,178965,0,0,True,,,0
Trimethoprim/ polymyxin b for lvad dressing - LMR 7865,PAML-LMR,7865,0,0,True,,,0
Trimethoprim polymyxin b sulfate - LMR 2746,PAML-LMR,2746,0,0,True,,,0
Polymyxin b-trimethoprim 10000 u-1 mg/ml solution,BWH_CC,912290,0,0,True,,,0
Polymyxin B Sul-Trimethoprim Opht,EPIC-MED,144825,0,0,True,,,0
"Doryx 50 mg Tablet,Delayed Release",EPIC-MED,183354,1,1,True,,,1
"Doryx 200 mg Tablet,Delayed Release",EPIC-MED,168604,1,1,True,,,1
Cephalexin monohydrate monohydrate 500mg capsule,BWH_CC,901624,1,1,True,,,1
Acetaminophen 325mg tablet 100 ea blist pack,BWH_CC,942106,0,0,True,,,0
Trimethobenzamide hcl/b-caine 200mg supp.rect 50 ea box,BWH_CC,942058,0,0,True,,,0
Acetaminophen 500mg tablet 100 ea blist pack,BWH_CC,942549,0,0,True,,,0
Acetaminophen 325mg tablet 100 ea blist pack,BWH_CC,947049,0,0,True,,,0
Acetaminophen 325mg tablet 750 ea blist pack,BWH_CC,947093,0,0,True,,,0
Tamoxifen 10mg tablet u/d,BWH_CC,901047,0,0,True,,,0
Hydrocodone bit/acetaminophen 5 -500mg tablet 500 ea bottle,BWH_CC,941922,0,0,True,,,0
Hydrocodone bit/acetaminophen 5 -500mg tablet 100 ea blist pack,BWH_CC,941326,0,0,True,,,0
Amoxicillin trihydrate 500mg capsule 100 ea blist pack,BWH_CC,942656,1,1,True,,,1
Doxycycline hyclate 100mg powder for injection,BWH_CC,910528,0,0,True,,,0
Acetaminophen 325 mg/10.1,BWH_CC,940951,0,0,True,,,0
Sulfamethoxazole-trimethoprim 800mg-160mg tablet,BWH_CC,910129,1,1,True,,,1
Acetaminophen 650mg suppository,BWH_CC,902822,0,0,True,,,0
Acetaminophen 325 mg Tablet,EPIC-MED,101,0,0,True,,,0
"Injection, acetaminophen, 10 mg",HCPCS,J0131,0,0,True,,,0
"Acetaminophen 1,000 mg/100 ml (10 mg/ml) Intravenous Solution",EPIC-MED,108021,0,0,True,,,0
Acetaminophen 325 mg/10.15 ml Oral Solution,EPIC-MED,126009,0,0,True,,,0
Acetaminophen 500 mg Tablet,EPIC-MED,102,0,0,True,,,0
Cephalexin 500 mg Capsule,EPIC-MED,9500,1,1,True,,,1
Amoxicillin 500 mg Capsule,EPIC-MED,451,1,1,True,,,1
Acetaminophen 650 mg Rectal Suppository,EPIC-MED,105,0,0,True,,,0
Hydrocodone 5 mg-Acetaminophen 325 mg Tablet,EPIC-MED,34505,0,0,True,,,0
Butalbital-Acetaminophen-Caffeine 50 mg-325 mg-40 mg Tablet,EPIC-MED,8958,0,0,True,,,0
Oxycodone-Acetaminophen 10 mg-325 mg Tablet,EPIC-MED,31864,0,0,True,,,0
Amoxicillin 875 mg-Potassium Clavulanate 125 mg Tablet,EPIC-MED,33228,0,0,True,,,0
Doxycycline Hyclate 100 mg Tablet,EPIC-MED,2625,1,1,True,,,1
Minoxidil 5 % Topical Solution,EPIC-MED,22250,0,0,True,,,0
Doxycycline Hyclate 100 mg Capsule,EPIC-MED,2623,1,1,True,,,1
Amoxicillin 250 mg Capsule,EPIC-MED,450,1,1,True,,,1
Azithromycin 250 mg Tablet,EPIC-MED,20943,1,1,True,,,1
Aminophylline 250 mg/10 ml Intravenous Solution,EPIC-MED,407,0,0,True,,,0
Acetaminophen 300 mg-Codeine 30 mg Tablet,EPIC-MED,14087,0,0,True,,,0
Butalbital-Acetaminophen-Caffeine 50 mg-300 mg-40 mg Capsule,EPIC-MED,104993,0,0,True,,,0
Acetaminophen 650 mg/20.3 ml Oral Solution,EPIC-MED,126010,0,0,True,,,0
Sulfamethoxazole 800 mg-Trimethoprim 160 mg Tablet,EPIC-MED,7555,1,1,True,,,1
Hydrocortisone-Pramoxine 2.5 %-1 % Rectal Cream,EPIC-MED,28848,0,0,True,,,0
Sulfamethoxazole 400 mg-Trimethoprim 80 mg Tablet,EPIC-MED,7557,1,1,True,,,1
Amoxicillin 500 mg-Potassium Clavulanate 125 mg Tablet,EPIC-MED,33227,0,0,True,,,0
Butalbital-Acetaminophen-Caffeine 50 mg-325 mg-40 mg Capsule,EPIC-MED,8957,0,0,True,,,0
Amino Acids-Protein Hydrolysate 15 Gram-60 Kcal/30 ml Oral Liquid Pack,EPIC-MED,159894,0,0,True,,,0
Oxycodone-Acetaminophen 5 mg-325 mg Tablet,EPIC-MED,5940,0,0,True,,,0
Tamoxifen 20 mg Tablet,EPIC-MED,11498,0,0,True,,,0
Doxycycline Monohydrate 100 mg Capsule,EPIC-MED,9900,1,1,True,,,1
Aspirin-Acetaminophen-Caffeine 250 mg-250 mg-65 mg Tablet,EPIC-MED,9158,0,0,True,,,0
"Polymyxin B Sulfate 10,000 Unit-Trimethoprim 1 mg/ml Eye Drops",EPIC-MED,117171,0,0,True,,,0
"Acetaminophen Er 650 mg Tablet,Extended Release",EPIC-MED,13410,0,0,True,,,0
Minocycline 100 mg Capsule,EPIC-MED,5110,1,1,True,,,1
Cephalexin 250 mg Capsule,EPIC-MED,9499,1,1,True,,,1
Acetaminophen 325 mg Rectal Suppository,EPIC-MED,104,0,0,True,,,0
Butalbital 50 mg-Acetaminophen 325 mg-Caffeine 40 mg-Codeine 30 mg Cap,EPIC-MED,30350,0,0,True,,,0
Acetaminophen 160 mg/5 ml Oral Suspension,EPIC-MED,93073,0,0,True,,,0
Cephalexin 500 mg Tablet,EPIC-MED,9504,1,1,True,,,1
Azithromycin 1 % Eye Drops,EPIC-MED,81880,0,0,True,,,0
Tetracycline 500 mg Capsule,EPIC-MED,7797,1,1,True,,,1
Acetaminophen 325 mg/10.15 ml Oral Suspension,EPIC-MED,88504,0,0,True,,,0
Amoxicillin 875 mg Tablet,EPIC-MED,23458,1,1,True,,,1
Azithromycin 500 mg Tablet,EPIC-MED,17482,1,1,True,,,1
Amoxicillin 250 mg-Potassium Clavulanate 125 mg Tablet,EPIC-MED,22992,0,0,True,,,0
Amoxicillin 500 mg Tablet,EPIC-MED,17456,1,1,True,,,1
Doxycycline Hyclate 50 mg Capsule,EPIC-MED,2624,1,1,True,,,1
Phenylephrine-Dm-Acetaminophen 5 mg-10 mg-325 mg Capsule,EPIC-MED,42185,0,0,True,,,0
Acetaminophen 80 mg Rectal Suppository,EPIC-MED,8946,0,0,True,,,0
Acetaminophen 500 mg Capsule,EPIC-MED,98,0,0,True,,,0
Minocycline 50 mg Capsule,EPIC-MED,5111,1,1,True,,,1
Azithromycin  IVPB 500 mg Vialmate (250 ml) Rx,EPIC-MED,4004082635,0,0,True,,,0
Doxycycline  IVPB 100 mg Vialmate (250 ml) Rx,EPIC-MED,4004082636,0,0,True,,,0
Azithromycin  IVPB 500 mg (250 ml),EPIC-MED,4004081148,0,0,True,,,0
Minocycline Oral,EPIC-MED,141336,1,1,True,,,1
Minoxidil 2.5 mg Tablet,EPIC-MED,5115,0,0,True,,,0
Doxycycline Monohydrate 100 mg Tablet,EPIC-MED,21818,1,1,True,,,1
Hydrocodone 10 mg-Acetaminophen 325 mg Tablet,EPIC-MED,28384,0,0,True,,,0
Hydrocodone 7.5 mg-Acetaminophen 325 mg Tablet,EPIC-MED,34544,0,0,True,,,0
Lidocaine 23% W Tetracaine 7% Topical Ointment,EPIC-MED,707856,0,0,True,,,0
Acetaminophen 650mg suppository,MGH_CC,700300,0,0,True,,,0
Acetaminophen 325mg tab u,MGH_CC,700360,0,0,True,,,0
Zithromax 250mg tablet,MGH_CC,709110,1,1,True,,,1
Trimox 500mg capsule,MGH_CC,706210,1,1,True,,,1
Acetaminophen inh syr 10 m,MGH_CC,705000,0,0,True,,,0
Cephalexin monohydrate monohydrate 250mg capsule,MGH_CC,721670,1,1,True,,,1
Acetaminophen-propoxyphene napsylate napsylate 650mg-100mg tablet,MGH_CC,854260,0,0,True,,,0
Aminocaproic acid 250 mg/ml solution,MGH_CC,704320,0,0,True,,,0
Acetaminophen 325mg tablet,MGH_CC,3600,0,0,True,,,0
Acetaminophen 160 mg/5ml 20.3 ml,MGH_CC,50000,0,0,True,,,0
Oxycodone/acetaminophen tab,MGH_CC,455000,0,0,True,,,0
Azithromycin 250mg tablet,MGH_CC,91100,1,1,True,,,1
Trimethoprim 100mg tablet,MGH_CC,978600,1,1,True,,,1
Sulfamethoxazole/tmp ss tab,MGH_CC,236200,1,1,True,,,1
Acetaminophen/hydrocod 500/5,MGH_CC,771100,0,0,True,,,0
Sulfamethoxazole w/tmp ds tab,MGH_CC,236100,1,1,True,,,1
Cephalexin 500mg capsule,MGH_CC,216900,1,1,True,,,1
Acetaminophen-hydrocodone bitartrate 500mg-5mg tablet,MGH_CC,777110,0,0,True,,,0
Cephalexin monohydrate monohydrate 500mg capsule,MGH_CC,721690,1,1,True,,,1
Azithromycin 500mg iv,MGH_CC,701120,0,0,True,,,0
Tamoxifen cit tab,MGH_CC,890060,0,0,True,,,0
Sulfamethoxazole-trimethoprim 800mg-160mg tablet,MGH_CC,723610,1,1,True,,,1
Percocet 10 mg/325mg (oxycodone 10 mg/acetaminophen 325 mg) - LMR 4922,LMR,4922,0,0,True,,,0
Trimethoprim sulfamethoxazole (bactrim ds) - LMR 1271,LMR,1271,1,1,True,,,1
Azithromycin 250mg pack (z-pak) - LMR 4494,LMR,4494,1,1,True,,,1
Doxycycline monohydrate - LMR 5514,LMR,5514,1,1,True,,,1
Doxycycline hyclate - LMR 256,LMR,256,1,1,True,,,1
Aminophylline - LMR 39,LMR,39,0,0,True,,,0
Cephalexin (keflex) - LMR 873,LMR,873,1,1,True,,,1
Amoxicillin/clav.acid 875/125 (augmentin 875/125)- lmr 2713,LMR,2713,0,0,True,,,0
Minocycline (minocin) - LMR 1188,LMR,1188,1,1,True,,,1
Amoxicillin (amoxil amox) - LMR 43,LMR,43,1,1,True,,,1
Acetaminophen elixir - LMR 6,LMR,6,0,0,True,,,0
Acetaminophen w/codeine 30mg (tylenol #3)- lmr 8,LMR,8,0,0,True,,,0
Tetracycline hcl - LMR 730,LMR,730,1,1,True,,,1
Azithromycin (azithromax zithromax z-pack) - LMR 909,LMR,909,1,1,True,,,1
Amox./clav.acid 250/125 (augmentin) - LMR 44,LMR,44,0,0,True,,,0
Amox./clav.acid 500/125 (augmentin 500/125)- lmr 1086,LMR,1086,0,0,True,,,0
Tamoxifen - LMR 720,LMR,720,0,0,True,,,0
Acetaminophen w/ codeine 60mg - LMR 2071,LMR,2071,0,0,True,,,0
Acetaminophen (tylenol) - LMR 4,LMR,4,0,0,True,,,0
Azithromycin 500mg pack - LMR 4495,LMR,4495,1,1,True,,,1
Trimethoprim - LMR 769,LMR,769,1,1,True,,,1
Aminocaproic acid - LMR 37,LMR,37,0,0,True,,,0
Pramoxine + hydrocortisone 2.5% - LMR 2423,LMR,2423,0,0,True,,,0
Oxycodone 2.5 mg/acetaminophen 325mg - LMR 3371,LMR,3371,0,0,True,,,0
Azasite (azithromycin 1 mgml ophthalmic solution) - LMR 6448,LMR,6448,0,0,True,,,0
Tetrahydrozoline hcl - LMR 2136,LMR,2136,0,0,True,,,0
Acetaminophen (tylenol arthritis) - LMR 5838,LMR,5838,0,0,True,,,0
Oxycodone 10 mg/acetaminophen 650mg - LMR 3374,LMR,3374,0,0,True,,,0
Acetaminophen w/ codeine 15mg - LMR 2070,LMR,2070,0,0,True,,,0
Bactrim - LMR 771,LMR,771,1,1,True,,,1
"Injection, acetaminophen (hikma) not therapeutically equivalent to j0131, 10 mg",HCPCS,J0137,0,0,True,,,0
Azithtomycin 500mg inj,HCPCS,J0456,0,0,True,,,0
Azithromycin 500 mg Intravenous Solution,EPIC-MED,21063,0,0,True,,,0
"Aminolevulinic acid HCL for topical administration, 20%, single unit dosage from (354 mg)",HCPCS,J7308,0,0,True,,,0
Bactrim ds-oncall,ONCALL,DSPJ1-3,1,1,True,,,1
Z pak-oncall,ONCALL,DSBB2-2,1,1,True,,,1
Amoxicillin-oncall,ONCALL,DSHR3,1,1,True,,,1
Zithromax-oncall,ONCALL,DSBB2-1,1,1,True,,,1
Minocycline-oncall,ONCALL,DSFY2,1,1,True,,,1
Doxycycline-oncall,ONCALL,DSFD6,1,1,True,,,1
Keflex-oncall,ONCALL,DSKV2-1,1,1,True,,,1
Azithromycin-oncall,ONCALL,DSBB2,1,1,True,,,1
Tetracycline-oncall,ONCALL,DSEK1,1,1,True,,,1
Trimethoprim sulfamethoxazole combination (bactrim ds) tablets-oncall,ONCALL,DSPJ1-3T,1,1,True,,,1
Acetaminophen and hydrocodone-oncall,ONCALL,WSGJ8,0,0,True,,,0
Tmp smz ds-oncall,ONCALL,DSPJ1-7,1,1,True,,,1
Trimethoprim-oncall,ONCALL,DSTN2,1,1,True,,,1
Cephalexin-oncall,ONCALL,DSKV2,1,1,True,,,1
Tamoxifen-oncall,ONCALL,CSAP8,0,0,True,,,0
Oxycodone and acetaminophen-oncall,ONCALL,WSNW2,0,0,True,,,0
Bactrim-oncall,ONCALL,DSPJ1-1,1,1,True,,,1
Acetaminophen w/codeine 30mg (tylenol #3)- lmr 8,PAML-LMR,8,0,0,True,,,0
Percocet 10 mg/325mg (oxycodone 10 mg/acetaminophen 325 mg) - LMR 4922,PAML-LMR,4922,0,0,True,,,0
Acetaminophen (tylenol) - LMR 4,PAML-LMR,4,0,0,True,,,0
Azithromycin (azithromax zithromax z-pack) - LMR 909,PAML-LMR,909,1,1,True,,,1
Acetaminophen w/ codeine 60mg - LMR 2071,PAML-LMR,2071,0,0,True,,,0
Cephalexin (keflex) - LMR 873,PAML-LMR,873,1,1,True,,,1
Trimethoprim - LMR 769,PAML-LMR,769,1,1,True,,,1
Trimethoprim sulfamethoxazole single strength (bactrim ss) - LMR 1272,PAML-LMR,1272,1,1,True,,,1
Doxycycline hyclate - LMR 256,PAML-LMR,256,1,1,True,,,1
Trimethoprim sulfamethoxazole (bactrim ds) - LMR 1271,PAML-LMR,1271,1,1,True,,,1
Amox./clav.acid 500/125 (augmentin 500/125)- lmr 1086,PAML-LMR,1086,0,0,True,,,0
Zithromax 250mg tablet,BWH_CC,909754,1,1,True,,,1
Acetaminophen 500mg tablet 150 ea packet,BWH_CC,943398,0,0,True,,,0
Cephalexin monohydrate 250mg capsule 100 ea blist pack,BWH_CC,941357,1,1,True,,,1
Doxycycline hyclate hyclate 100mg capsule,BWH_CC,907270,1,1,True,,,1
Azithromycin 250mg tablet 100 ea blist pack,BWH_CC,947148,1,1,True,,,1
Doxycycline Hyclate 20 mg Tablet,EPIC-MED,30579,1,1,True,,,1
Hydrocodone 5 mg-Acetaminophen 500 mg Tablet,EPIC-MED,14966,0,0,True,,,0
Azithromycin Oral,EPIC-MED,130157,1,1,True,,,1
Acetaminophen Oral,EPIC-MED,128327,0,0,True,,,0
Unisom (Doxylamine) 25 mg Tablet,EPIC-MED,8363,0,0,True,,,0
Acetaminophen 160 mg/5 ml Oral Elixir,EPIC-MED,1579,0,0,True,,,0
Doxycycline Monohydrate 50 mg Capsule,EPIC-MED,9901,1,1,True,,,1
Minocycline 100 mg Tablet,EPIC-MED,5112,1,1,True,,,1
Doxylamine Succinate 25 mg Tablet,EPIC-MED,14847,0,0,True,,,0
Osm_aminocaproic acid infusion in ns 60 mg/ml (250 ml) MGH,EPIC-MED,7002133,0,0,True,,,0
Azithromycin ivpb 250 ml ahfm mvh_nsm,EPIC-MED,6004080350,0,0,True,,,0
Doxycycline ivpb 100 ml ahfm NSM,EPIC-MED,6004080440,0,0,True,,,0
Azithromycin ivpb in ns 500 mg (250 ml) cmpd nsm_cdh_bwh,EPIC-MED,702407,0,0,True,,,0
Tamoxifen 10 mg Tablet,EPIC-MED,7711,0,0,True,,,0
Acetaminophen 500 mg/50 ml (10 mg/ml) intravenous solution,EPIC-MED,207006,0,0,True,,,0
Minocycline hcl cap 50,MGH_CC,825420,1,1,True,,,1
Hydrocodone 10mg - acetaminophen 500mg - LMR 8195,LMR,8195,0,0,True,,,0
Doxylamine succinate - LMR 1689,LMR,1689,0,0,True,,,0
Vicodin hp (hydrocodone/ acetaminophen 10 mg/660 mg) - LMR 5043,LMR,5043,0,0,True,,,0
Hydrocodone/ acetaminophen 10 mg/325mg - LMR 5900,LMR,5900,0,0,True,,,0
Pramoxine hcl 1% - LMR 631,LMR,631,0,0,True,,,0
Doxycycline (dental) hyclate - LMR 5189,LMR,5189,1,1,True,,,1
"Injection, acetaminophen (fresenius kabi) not therapeutically equivalent to j0131, 10 mg",HCPCS,J0134,0,0,True,,,0
"Injection, acetaminophen (b braun) not therapeutically equivalent to j0131, 10 mg",HCPCS,J0136,0,0,True,,,0
Bactrim ds-oncall,ONCALL,DSNA4-1,1,1,True,,,1
Acetaminophen-oncall,ONCALL,WSHL1,0,0,True,,,0
Tamoxifen - LMR 720,PAML-LMR,720,0,0,True,,,0
Acetaminophen elixir - LMR 6,PAML-LMR,6,0,0,True,,,0
"Injection, trimethobenzamide hcl, up to 200 mg",HCPCS,J3250,0,0,True,,,0
Cephalexin 500mg capsule,BWH_CC,940150,1,1,True,,,1
Aminophylline 25 mg/ml solution,BWH_CC,906505,0,0,True,,,0
"Injection, aminophyllin, Up To 250 Mg",HCPCS,J0280,0,0,True,,,0
Sulfamethoxazole-trimethoprim 200mg-40 mg/5ml suspension,BWH_CC,910268,1,1,True,,,1
Doxycycline hyclate 100mg capsule 100 ea bottle,BWH_CC,941695,1,1,True,,,1
Aminocaproic Acid Infusion In Ns 60 mg/ml (250 ml) Cmpd BWH,EPIC-MED,700538,0,0,True,,,0
Tetracaine Hcl (Pf) 0.5 % Eye Drops,EPIC-MED,126779,0,0,True,,,0
Isometheptene-Dichloralphen-Acetaminophen 65 mg-100 mg-325 mg Capsule,EPIC-MED,4018,0,0,True,,,0
"Doxycycline Hyclate 100 mg Tablet,Delayed Release",EPIC-MED,42106,1,1,True,,,1
Pramoxine 1 % Lotion,EPIC-MED,11099,0,0,True,,,0
Aminolevulinic Acid Hcl 20 % Topical Solution,EPIC-MED,29588,0,0,True,,,0
Hydrocortisone-Pramoxine 1 %-1 % Rectal Cream,EPIC-MED,28847,0,0,True,,,0
Aminocaproic acid 250 mg/ml topical solution MGH,EPIC-MED,701616,0,0,True,,,0
Doxycycline Hyclate Oral,EPIC-MED,135124,1,1,True,,,1
Azithromycin  IVPB 500 mg (250 ml) Adv,EPIC-MED,4004081149,0,0,True,,,0
